f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9
-0.06102756,-0.15525542,0.14139397,0.028712237,-0.004126315,0.18984671,0.12008052,0.09727269,0.14699224,0.14007767
-0.14565764,-0.048401657,0.17218357,0.10866832,-0.15270904,0.179581,0.008679627,0.09125507,0.13312161,0.06721826
-0.083664574,-0.16040961,0.13956022,0.020959655,0.0046067093,0.18336898,0.12203485,0.10717348,0.1374884,0.13489158
-0.07606839,-0.1397945,0.14699653,0.021285452,0.006451933,0.18603124,0.13941212,0.09843478,0.14360617,0.13164726
-0.06447973,-0.15589254,0.13709345,0.018375494,0.026751291,0.18221141,0.12166394,0.10392835,0.14596413,0.13538553
-0.1414347,-0.041513976,0.16012914,0.12298291,-0.14079793,0.14793871,0.02689918,0.10447017,0.14226025,0.036391187
-0.1191898,-0.025158022,0.14848563,0.118061505,-0.15926285,0.1787649,0.025530891,0.103813805,0.14570153,0.04672879
-0.13633555,0.025029832,0.14658086,0.13303635,-0.17149065,0.13477588,-0.013388961,0.10271427,0.12805028,0.007335548
-0.13591334,0.021705886,0.14224277,0.13160957,-0.17407756,0.14687842,-0.012271974,0.10041605,0.13376765,0.023830753
-0.13458069,0.0041029085,0.15348995,0.12013977,-0.17644855,0.15617722,0.009131196,0.09980687,0.13571803,0.038454518
-0.1289645,0.008715835,0.14007807,0.1296607,-0.17400713,0.14910525,9.631432e-06,0.09832541,0.1437625,0.025471041
-0.08626932,-0.1362233,0.13672203,0.040204346,-0.010050283,0.17827775,0.12007407,0.0978396,0.15090014,0.13237245
-0.120783366,-0.08365473,0.17209685,0.0757657,-0.07440967,0.19750844,0.060275882,0.110029474,0.15950617,0.09433372
-0.13346113,-0.0059536207,0.17062475,0.125455,-0.15531623,0.15528543,0.0036372198,0.10864414,0.14149408,0.029402226
-0.13831009,-0.002274323,0.15108447,0.117815316,-0.17351635,0.15856023,0.016740026,0.102491185,0.13986102,0.06228018
-0.12217504,0.007714271,0.14656532,0.12743264,-0.15914297,0.15401915,0.017872252,0.1078883,0.13728154,0.034889366
-0.09114531,-0.13128549,0.15453558,0.06785265,-0.07010029,0.17185171,0.080202475,0.10716247,0.1550103,0.11104987
-0.13534956,-0.0046365894,0.14765148,0.12603372,-0.14602323,0.15817653,0.03513,0.11078499,0.13622913,0.034525983
-0.13402495,-0.003944,0.13694988,0.128108,-0.1800131,0.12997651,0.021123856,0.1033601,0.13121682,0.03557271
-0.075812265,-0.14223617,0.14539686,0.029499095,0.017461438,0.18270233,0.12091402,0.11231428,0.15204635,0.13156687
-0.13164169,0.017959092,0.13536027,0.12981416,-0.17842487,0.14081563,0.00053758506,0.10004604,0.1286286,0.020496681
-0.1092946,-0.101664715,0.16809052,0.06366178,-0.054088812,0.19748954,0.078312755,0.10852954,0.157118,0.10879176
-0.15164317,-0.0050354777,0.14663835,0.12922327,-0.15527715,0.1494573,-0.0045092823,0.09181447,0.13892293,0.026240978
-0.059138354,-0.1621172,0.13349412,0.016976349,0.035701577,0.18619202,0.119305894,0.0900571,0.13932754,0.13581526
-0.10278696,-0.07879304,0.16714405,0.07842113,-0.09028215,0.16429721,0.062392775,0.10396725,0.15994534,0.07356943
-0.07563625,-0.1612615,0.15653688,0.039325804,-7.8074205e-05,0.18801092,0.108185016,0.10061428,0.14741985,0.12696655
-0.13131554,-0.022496266,0.1468566,0.120830946,-0.1560688,0.14603573,0.015464322,0.09338162,0.13958739,0.035977434
-0.06787106,-0.14963818,0.13581534,0.018785622,0.019163746,0.18429752,0.11950442,0.099995546,0.15164664,0.13442598
-0.13396375,0.017737502,0.1416233,0.1362364,-0.17538513,0.14801271,-0.00061781623,0.10735503,0.13116689,0.020230798
-0.07682027,-0.14917731,0.14606093,0.038346384,0.0001081657,0.18074504,0.110684365,0.10275476,0.14772043,0.13279046
-0.054959282,-0.1511291,0.14556699,0.009754393,0.03551734,0.18172996,0.12123635,0.10064977,0.15527688,0.14356805
-0.08019237,-0.09948512,0.12389136,0.049870063,-0.040064074,0.18477798,0.09311375,0.12753381,0.1805719,0.10162284
-0.116462186,-0.020543106,0.15730126,0.124050796,-0.16457167,0.14463128,0.023934651,0.101017945,0.13335428,0.034096893
